4.745233,0.34216,-0.72492,0.11123,5.14856,5.15338
4.760263,0.33698,-0.72324,0.11249,5.14856,5.14841
4.775298,0.33978,-0.72716,0.09625,5.14856,5.14951
4.790302,0.34020,-0.72611,0.09786,5.14856,5.15054
4.805351,0.34146,-0.72296,0.10269,5.14856,5.15364
4.823698,0.34146,-0.72246,0.10361,5.14856,5.15391
4.838825,0.34146,-0.72212,0.10546,5.14856,5.15409
4.854020,0.33670,-0.71876,0.10913,5.14856,5.15048
4.869065,0.33789,-0.71897,0.11046,5.14856,5.15172
4.884122,0.34146,-0.71960,0.11179,5.14856,5.15544
4.899173,0.35266,-0.72779,0.11190,5.14856,5.16361
4.914255,0.34594,-0.73052,0.11193,5.14856,5.15466
4.932705,0.34482,-0.72352,0.10115,5.14856,5.15713
4.947900,0.34902,-0.72758,0.10871,5.14856,5.15966
4.962917,0.35322,-0.73164,0.11627,5.14856,5.16216
4.978087,0.34188,-0.72471,0.09989,5.14856,5.15318
4.993108,0.33810,-0.72240,0.10084,5.14856,5.15013
5.008195,0.33670,-0.72884,0.10367,5.14856,5.14515
5.026576,0.33984,-0.72503,0.10476,5.14856,5.15070
5.041817,0.34454,-0.71932,0.10549,5.14856,5.15908
5.056848,0.34006,-0.72968,0.10941,5.14856,5.14850
5.071985,0.33915,-0.73010,0.10770,5.14856,5.14726
5.087027,0.33642,-0.73136,0.10255,5.14856,5.14352
5.102221,0.34034,-0.72940,0.10598,5.14856,5.14896
5.120566,0.34426,-0.72744,0.10731,5.14856,5.15441
5.135638,0.33922,-0.72912,0.09891,5.14856,5.14785
5.151277,0.34202,-0.72905,0.10192,5.14856,5.15104
5.166475,0.35042,-0.72884,0.10493,5.14856,5.16055
5.181515,0.34517,-0.72569,0.10861,5.14856,5.15636
5.196599,0.34342,-0.72464,0.10983,5.14856,5.15495
5.211651,0.33614,-0.72436,0.09933,5.14856,5.14687
5.226655,0.33747,-0.72520,0.10213,5.14856,5.14793
5.245042,0.34146,-0.72772,0.11053,5.14856,5.15111
5.260112,0.34335,-0.72310,0.10633,5.14856,5.15570
5.275197,0.34398,-0.72184,0.10896,5.14856,5.15709
5.290297,0.33502,-0.72268,0.11683,5.14856,5.14648
5.305376,0.33565,-0.72492,0.11487,5.14856,5.14601
5.320375,0.33754,-0.72716,0.11291,5.14856,5.14698
5.338746,0.33284,-0.72806,0.11213,5.14856,5.14118
5.353780,0.33362,-0.72849,0.11347,5.14856,5.14184
5.368800,0.33950,-0.72912,0.11809,5.14856,5.14816
5.383783,0.33740,-0.73080,0.11606,5.14856,5.14492
5.398776,0.33530,-0.73248,0.11403,5.14856,5.14168
5.417099,0.33933,-0.72352,0.09947,5.14856,5.15093
5.432245,0.33971,-0.72205,0.10437,5.14856,5.15214
5.447238,0.33782,-0.72436,0.10927,5.14856,5.14877
5.462292,0.34202,-0.72226,0.10213,5.14856,5.15465
5.477463,0.34622,-0.72156,0.09975,5.14856,5.15976
5.492488,0.34566,-0.72772,0.10507,5.14856,5.15583
